Anomia67	Powles67	Anomia71	Powles71	Educ	SEI
3.84	4.97	4.76	8.55	7.85	22.5
3.21	-0.82	3.64	2.11	8.71	21.95
-0.63	-1.24	-0.38	-2.98	8.88	21.18
3.49	4.17	3.88	6.43	-0.81	22.26
4.1	0.37	0.43	-0.9	3.06	20.1
5.52	5.2	9.35	7.45	-4.99	21.08
4.86	1.88	1.3	4.43	0.89	19.03
12.23	9.48	10.54	3.95	-0.3	14.14
9.84	6.77	6.82	5.67	-0.3	20.22
4.04	2.58	2.59	-1.03	3.68	24.05
7.3	2.2	6.83	6.75	-3.41	18.98
6.35	3.32	1.15	2	1.17	21.45
3.19	6.9	4.2	0.22	0.87	22.71
13.82	9.7	13.64	5.33	-1.02	17.2
-0.68	-1.53	2.5	1.85	11.14	23.34
1.6	1.78	3.06	0.55	4.81	20.91
1.32	0.86	6.33	2.54	5.9	23.47
0.93	0.24	3.34	-1.59	6.86	23.3
4.79	3.97	1.54	1.6	-0.38	19.35
6.2	6.59	6.06	4.98	-0.37	20.77
-3.36	0.2	1.71	3.72	7.72	21.78
2.32	0.81	7.7	6	10.38	21.98
2.05	4.32	3.73	4.51	-1.02	20.06
3.68	0.26	2.13	2.75	2.45	19.59
10.13	3.22	7.63	5.37	-1.48	19.6
0.68	-0.91	3.8	3.59	4.64	20.74
0.77	-0.98	-1.82	-0.41	2.13	21.13
8.14	4.44	6.1	1.73	1.2	19.68
0.7	3.07	3.77	3.64	8.66	24.7
8.64	4.73	12.22	8.88	-0.26	21.44
2.7	2.79	4.37	-3.47	2.28	19.23
6.21	6.55	10.85	9	3.95	21.23
3.73	6.38	5.2	1.85	2.8	21.69
3.58	6.52	3.5	3.73	1.46	23.35
-0.25	-2.09	0.45	-2.51	6.61	22.9
3.84	4.59	2.77	4.48	3.07	22.02
2.7	8.13	3.54	3.53	0.79	20.38
8.65	5.85	5.25	0.75	0.2	21.04
9.17	6.05	10.43	9.95	1.84	19.15
-0.68	-1.26	0.24	2.17	2.3	21.44
8.86	3.69	5.3	2.24	0.05	19.15
1.34	2.71	5.05	3.3	7.85	27.01
4.63	3.91	3.75	5.86	0.44	18.98
0.4	-2.04	2.44	0.89	1.15	21
1.42	1.59	2.19	0.22	4.26	22.7
-2.19	-0.23	0.88	0.41	4.85	23.23
4.33	3.92	5.37	3.74	4.41	20.03
2.4	1.84	-0.8	2.34	5.5	23
10.53	5.9	10.02	8.81	2.14	19.31
-2.76	1.42	2.83	1.58	3.96	20.75
3.55	3.46	0.16	2.65	1.74	20.5
2.84	2.48	9.69	3.12	5.06	19.09
-0.69	-2.59	0.39	-1.37	9.18	21.99
2.14	2.47	2.5	3.2	0.39	21.33
7.56	2.67	11.73	5.81	2.25	23.59
8.58	10.67	8.98	11.06	-0.56	20.07
2.65	0.87	0.15	0.96	3.81	21.85
0.62	1.16	3.58	-1.31	5.62	23.8
8.86	9.5	5.18	8.25	-0.61	17.59
2.37	0.49	2.11	1.4	6.58	21.34
-0.77	0.87	-0.76	0.22	7.72	24.22
4.13	-0.31	5.33	1.31	-0.16	19.81
4.19	-2.53	3.28	0.16	0.76	21.01
0.11	0.14	3.03	-0.6	0.02	19.99
3.08	4.81	-0.22	1.45	4	23.99
6.62	8.02	7.34	7.88	4.66	21.3
0.07	2.59	0.78	5.61	3.71	22.15
0.7	1.1	-0.19	3.11	2.6	21.13
5.71	6.99	6.05	6.45	1.56	23.14
8.08	5.7	7.45	6.94	2.69	15.83
10.04	9.05	7.82	5.28	3.02	20.39
4.06	8.32	2.88	5.79	4.65	19.91
6.96	3.25	4.74	5.49	-1.09	23.08
5.46	5.43	1.29	0.69	3.7	23.05
2.47	3.87	4.63	0.98	6.63	21.52
7.58	0.33	2.64	1.59	6.95	19.36
6.36	4.46	9.48	10.15	3.01	23.06
2.25	7.11	2.77	6.25	0.48	22.37
1.53	2.82	2.42	3.68	2.73	19.71
1.75	0.99	0.11	-2.34	7.2	21.09
0.63	-0.02	0.14	5.14	6.56	22.87
-5.23	-5.06	-1.82	1.27	2.91	21.18
-5.18	-1.79	6.96	2.71	3.18	21.05
11.28	7.42	10.48	5.6	-1.51	17.02
5.58	6.86	4.15	1.17	-0.57	17.2
7.45	5.32	5.04	0.81	6.36	23.5
4.87	2.17	4.42	4.84	6.48	19.78
5.42	1.96	1.38	-3.01	7.23	19.23
11.25	7.2	8.35	8.88	-1.04	19.54
-1.18	3.86	0.05	1.19	2.97	16.84
-2.14	0.49	0.6	2.12	4.44	22.2
1.43	2.52	2.19	6.41	3.91	18.75
0.41	-3.33	-1.54	-4.72	6.15	24.08
1.36	-1.86	-1.19	1.92	7.76	23.56
9.12	6.75	7.95	8.03	-5.24	17.21
5.16	4.26	0.83	0.61	-2.21	21.8
-2.17	0.87	2.6	4.74	3.28	20.39
0.45	-0.33	0.36	1.4	8.53	25.31
0.31	1.07	6.85	3.59	3.78	22.08
6.62	5.1	3.3	-0.49	4.82	20.21
6.52	7.2	3.85	4.88	-1.29	18.32
0.27	-1.96	3.41	-0.3	2.27	23.57
3.06	5.98	2.68	4.85	-0.34	18.76
3.16	2.35	1.63	2.46	2.86	21.03
1.74	2.42	1.17	0.56	2.07	20.09
2.8	0.53	-0.5	3.89	6.21	22.23
6.93	8.89	4.05	2.64	5.14	20.18
1.9	3.49	3.44	3.9	3.83	23.08
5.8	4.49	6.35	5.95	3.29	20.87
3.04	4.51	0.47	6.39	3.98	21.01
7.49	0.87	3.49	1.92	2.65	19.6
3.83	3.61	2.46	3.78	6.24	20.73
-2.57	2.67	4.11	5.21	2.02	21.73
-0.64	2.48	0.68	6.46	4.46	23.62
11.86	6.43	11.79	6.9	8.61	21.33
4.97	-1.13	7.58	0.34	6.41	19.52
6.03	6.05	9.54	3.28	-2.08	20
3.96	1.58	2.54	2.2	10.27	25.76
-2.86	-3.55	-4.82	-3.81	9.43	24.84
0.46	3.91	9.15	5.79	-0.43	21.69
9.71	3.41	8.66	5.6	5.55	23.54
-0.28	1.86	0.77	5.08	4.26	22.8
-0.12	2.82	0.74	-3.13	7.43	24.31
3.32	5.33	6.78	8.25	4.83	23.85
6.57	6.5	5.85	7.62	4.16	23.79
4.48	1.79	1.43	2.6	3.22	21.02
8.32	3.81	10.14	10.54	-0.03	18.04
0.07	2.25	3.65	5.26	-0.42	18.9
0.63	2.14	1.33	0.49	5.74	20.32
2.12	2.31	-0.12	-0.12	9.51	24.04
3.37	3.21	4.93	4.04	0.79	23.78
4.15	3.2	11.94	5.32	4.16	22.89
-2.33	-2.65	-1.9	1.42	4.54	22.31
5.35	2.95	7.81	3.1	2.04	18.93
3.51	-1.02	3.92	2.78	2.14	20.55
4.03	1.2	-7.1	-6.68	10	24.25
4.84	2.8	1.72	1.86	1.64	21.04
-3.55	2.97	-0.12	2.28	3.07	20.46
-4.16	3.99	-2.99	-0.72	4.51	20.84
5.74	2.74	8.39	5.03	3.27	21.63
3.19	4.07	2.92	-0.78	-0.95	24.01
1.89	5.16	6.52	-0.28	4.03	21.32
1.29	-2.39	-2.55	-1.65	0.27	19.17
8.02	3.87	2.42	-0.33	-2.39	20.43
-1.22	0.42	0.72	-1.7	3.95	20.5
3.92	3.49	4.64	4.17	0.77	19.87
2.8	1.97	3.19	2.4	8.03	22.43
10.89	6.6	5.09	1.1	0.82	17.69
1.48	4.73	5.43	7.81	6.8	23.39
5.09	3.68	8.82	0.73	-0.62	19.55
1.22	1.08	0.81	-1.14	7.83	22.1
5.42	7.83	3.89	5.66	4.68	24.5
3.22	5.24	2.18	0.63	5.66	21.08
3.32	4.06	3.22	1.16	8.61	23.78
4.84	0.59	9.81	7.18	5.26	22.63
-1.09	-3.57	2.72	-1.3	7.12	24.73
5.25	4.01	5.3	6.63	3.42	21.25
4.62	5.03	1.51	2.45	3.3	18.93
4.2	2.55	2.73	1.22	5.64	21.74
4.23	2.6	3.84	4.9	2.5	18.63
3.52	-0.38	0.63	-0.87	4.6	19.55
4.27	3.41	4.05	4.73	2.15	18.86
5.13	3.69	8.81	2.32	2.23	19.42
-0.84	-1.77	0.98	0.84	5.87	22.16
0.25	5.44	-0.51	0.99	5.18	20.31
0.94	1.96	4.96	3.29	6.92	21.75
4.27	0.62	8.8	5.42	0.96	21.68
6.84	1.31	4.16	3.4	3.45	19.58
7.92	3.99	0.47	3.4	4.36	24.05
7.9	4.37	5.12	5.28	0.83	19.23
1.75	2.98	-0.73	1.88	2.29	21.15
8.35	6.45	4.12	7.66	3.08	17.61
0.4	1.81	1.23	3.04	3.71	19.99
2.95	3.55	3.24	5.08	4.66	22.18
7.01	3.43	9.09	7.78	-1.26	21.28
5.69	5.45	6.92	1.7	1.93	22.74
2.87	9.45	0.16	4.71	4.15	22.32
6.96	6.52	-2.81	2.87	-2.36	21.33
2.89	3.17	0.63	1.46	4.55	22.23
1.2	4.14	1.26	1.85	5.16	18.05
-0.22	0.16	-1.1	1.73	9.57	24.09
2.34	1.82	4.02	4.59	-0.37	17.52
4.26	3.71	2.26	3.42	0.67	20.33
9.45	5.42	11.6	10.06	-2.11	15.7
0.62	3.14	1.08	4.28	0.91	19.84
2.23	5.12	2.23	6.58	2.48	20.21
5.06	1.5	5.15	4.36	-0.28	18.17
-2.71	0.05	-1.74	0.19	5.66	22.87
-3.47	-2.66	0.1	-1.36	3.34	18.85
4	3.37	6.82	2.35	5.82	20.24
6.53	2.35	2.02	1.38	2.28	17.07
2.46	2.15	5.88	5.58	2.86	20.94
9.12	7.52	3.37	6.2	-4.53	17.96
-0.48	0.34	6.76	2.29	-0.88	20.43
1.07	0.09	-0.05	1.23	7.59	24.48
6.55	4.9	10.59	6.93	2.08	19.38
4.18	0.85	6.48	1.97	3.33	20.06
3.26	2.13	1.33	-2.01	7.28	26.46
1.24	-0.1	1.41	0.38	5.72	22.28
1.89	4.96	4.91	2.35	4.29	21.66
2.53	5.74	-0.24	0.35	3.68	22.33
1.95	1.44	2.14	2.05	1.96	20.16
7.18	7.18	7.7	5.44	1.36	18.51
0.71	-0.85	2.94	0.33	4.96	24.35
6.93	5.91	6.02	2.14	4.53	19.57
3.76	6.7	1.99	8	2.19	20.22
6.15	2.48	13.87	4.29	2.11	18.81
0.71	0.13	2.7	3.99	3.89	21.82
-0.12	4.24	0.73	0	2.95	20.3
6.64	5.99	5.87	4.95	5.52	21.16
7.02	4.38	4.51	1.87	2.24	23.39
3.14	4.37	7.3	5.76	0.28	17.88
3.95	4.12	6.7	7.19	-0.3	18.25
6.3	7.93	8.81	5.59	-0.88	22.32
6.81	2.85	3.51	0.48	-1.01	20.11
2.76	-0.15	2.43	1.46	1.01	20.69
0.47	2.65	10.68	5.66	2.78	23.03
0.89	0.06	4.07	-1.1	10.15	22.19
4.5	4.16	-1.42	4.14	1.3	20.85
-0.84	-1.51	-1.87	-0.51	4.77	22.21
2.6	2.43	5.69	5.51	4.51	22.29
-2.09	-1.14	4.06	2.53	3.57	22.91
1.7	4.76	-0.48	4.04	4.88	22.36
0.97	1.9	-1.01	2.4	3.34	25.33
-5.93	-0.91	-3.38	-1.65	5.57	24.34
3.97	2.97	1.67	1.3	7.4	19.31
4.02	2.78	0.01	5.6	3.38	22.62
0.68	2.05	4.95	6.1	0.77	22.42
5.27	3.4	0.68	-0.24	3	21.48
1.35	2.48	2.61	3.09	6.2	22.38
9.35	5.78	8.3	7.44	0.1	16.44
9.21	3.18	2.99	5.3	7.24	23.12
4.55	3.07	4.83	2.46	3.38	21.6
3.1	2.6	5.1	0.24	1.87	21.33
5.98	2.02	2.98	1.66	1.31	18.8
2	1.37	1.54	4.85	3.28	22.76
3.81	4	0.48	4.7	2.28	19.33
7.76	3.23	2.48	5.9	3.13	19.1
13.11	11.89	10.77	6.37	2.56	19.62
2.78	4.91	0.65	4.68	3.7	21.54
10.95	9.83	8.32	10.26	3.49	19.94
9.41	4.62	3.74	3.35	-4.16	17.51
3.2	3.84	2.59	3.81	6.57	22.14
-1.39	-0.96	2.64	-1.28	5.73	19.73
0.99	1.59	1.31	-3.04	1	19.5
-1.26	3.49	5.17	1.82	6.4	23.17
-0.8	3.56	5.46	3.89	6.36	23.22
1.87	-1.54	3.77	-0.38	6.74	22.54
3.64	3.73	5.86	3.81	1.63	21.41
7.64	6.05	4.42	1.63	7.18	24.46
2	1.83	10.61	7.31	2.86	19.25
0.82	-1.2	4.03	-0.88	7.86	22.32
8.65	2.52	5.85	8.14	-2.81	17.42
-1.39	-4.03	-0.22	-0.77	4.75	22.26
7.98	7.08	5.25	4.86	4.83	20.28
-1.73	0.14	2.3	-0.89	7.29	26.33
1.26	3.51	6.52	3.78	2.77	19.86
1.23	1.81	1.58	0.51	4.66	23.09
1.58	-1.4	-0.56	1.62	4.92	21.76
-0.92	0.47	-0.7	3.56	2.25	23.24
0.73	8.74	4.22	6.9	-0.57	16.98
3.16	7.93	2.34	6.41	6.57	18.33
2.08	8.89	8.66	10.99	-2.78	19.41
3.78	0.28	5.53	3.67	3.25	19.71
6.73	3.24	6.59	1.98	-2.81	20.95
7.49	6.3	9.78	6.09	1.4	19.16
4.5	2.19	7.88	7.99	3.38	19.97
-0.71	-0.27	1.75	0.63	6.75	21.47
3.86	3	4.44	1.49	2.1	21.56
1.68	2.2	3.44	1.36	4.26	21.44
2.84	2.51	3.94	2.08	3.62	20.11
4.45	2.37	1.92	0.84	2.99	23.85
1.52	1.22	-1.15	-0.34	-2.3	21.48
9.54	8.04	4.33	2.05	1.32	20.66
7.4	4.09	8.44	4.74	-3.88	18.18
2.75	4.83	1.14	4.26	4.42	23.48
1.67	2.4	2.11	5.48	7.15	20.64
-2.56	-1.94	9.39	3.61	4.16	23.53
6.02	3.54	4.21	0.88	5.01	22.06
2.22	1.98	2.82	-1.92	1.96	22.57
5.47	2.68	3.43	4.3	4.43	23.21
0.46	-1.95	1.13	2.91	2.03	20.86
2.83	2.86	0.18	3.43	3.47	16.75
-2.17	-0.97	-0.56	2.32	7.15	23.14
1.71	0.59	-1.64	0.09	0.77	25.29
0.63	2.15	-1.26	-2.72	3.66	22.22
3.56	5.07	0.52	0.51	5.76	23.03
2.72	4.25	2.99	4.88	3.84	22.18
1.48	4.87	1.71	3.22	2.71	21.01
11.71	5.45	9.97	8.33	4.05	18.24
-0.13	4.2	6.03	5.74	-0.14	21.75
1.5	1.58	-4.01	0.09	3.65	24.5
6.52	5.88	8.06	10.27	4.3	17.2
4.05	5.68	1.35	-0.37	0.19	24.27
-2.92	2.2	2.87	5.6	10.55	22.04
7.24	2.55	1.86	4.91	7.64	24.05
4.84	4.95	3.69	4.4	5.77	22.16
3.07	1.02	2.45	1.66	4.43	21.43
2.16	2.07	0.96	0.96	2.77	22.19
3.25	1.24	9.13	10.04	-0.47	21.94
1.74	4.42	4.34	7.85	-4.15	19.26
0.39	1.28	4.86	3.66	2.56	20.12
3.19	-0.87	3.7	0.73	7.31	23.33
4.54	0.52	5.46	5.21	6.23	18.83
-6.35	-2.62	-1.87	-4.48	3.25	21.56
15.08	13.55	9.98	7.98	-3.68	16.89
0.11	2.99	2.86	3.89	2.08	21.42
-1.3	-0.13	1.25	5.2	6.95	23.24
3.34	4.2	5.31	5.79	1.58	20.35
0.94	0.56	0.07	2.29	3.85	20.98
0.59	3.51	3.11	5.77	0.1	20.31
8.92	7.24	7.58	4.51	0.37	23.03
-2.19	-0.62	-3.43	-1.83	4.94	21.73
1.2	4.03	-1.26	2.04	4.54	20.02
-1.77	-2.2	-3.45	-2.54	4.47	21.16
3.15	2.93	4.52	3.66	6.59	22.38
9.51	4.4	5.49	5.86	3.21	19.95
5.3	0.21	5.45	0.39	3.59	18.24
4.72	3.37	7.01	3.1	1.18	18.81
4.61	1.13	4.52	2.83	2.55	22.49
2.64	4.39	5.47	1.32	2.29	21.16
-1.3	3.25	-6.04	-2.05	5.6	21.07
2.46	1.89	7.68	4.66	0.74	17.08
2.65	1.69	4.37	1.45	1.14	21.04
11.24	6.13	4.09	6.43	-2	17.53
2.33	0.07	5.42	3.26	6.95	21.8
1.16	4.9	0.06	1.62	5.22	21.89
2.03	4.7	2.99	4.37	2.14	18.49
5.85	4.23	8.64	2.47	2.17	18.91
7.29	5.92	2.89	1.81	5.01	23.17
0.58	3.09	7.58	5.34	1.73	19.63
1.75	3.11	7.57	6.01	1.3	21.16
1.16	1.59	4.19	1.2	4.47	23.56
2.5	2.27	3.02	5.93	5.05	23.36
3.17	0.48	5.16	3.14	3.41	23.67
6.28	-0.17	6.43	1.88	5.84	21.91
6.07	3.31	6.4	1.49	-0.33	19.87
-1.05	1.37	1.5	-0.07	1.87	22.4
-0.11	0.21	1.99	2.52	2.95	21.6
1.49	-1.2	3.27	-2.28	2.9	23.29
10.24	7.03	5.17	4.85	0.7	21.02
6.55	2.44	5.92	4.73	1.21	20.67
1.05	5.76	7.64	7.74	4.96	20.68
4.16	9.59	7.83	7.32	1.94	17.71
1.44	-0.73	0.32	4.01	5.91	22.37
5.57	4.56	3.87	4.94	0.7	19.09
6.71	7.44	8.36	8.83	1.57	18.48
3.28	3.94	1.95	-1.5	6.42	24.16
9.28	0.81	7.79	-0.79	3.33	19.33
10.89	9.5	4.66	2.54	-0.5	22.89
6.43	-0.35	5.35	2.33	7.05	24.09
4.5	5.81	3.54	2.32	4.95	21.89
-0.86	3.55	2.19	2.61	3.48	21.79
-0.67	2.25	1.21	1.58	3.48	20.92
-0.7	-3.69	-0.76	0.8	6.18	25.08
5.17	6.14	6.09	-0.3	2.48	20.77
10.82	4.84	5.37	3.93	2.96	24.18
6.91	6.65	0.77	6.47	3.19	19.99
8.29	11.23	3.73	7.52	0.18	20.89
5.04	3.75	1.22	6.42	-1.87	19.89
4.78	8.39	4.92	3.93	-0.9	20.17
1.52	1.47	4.18	4.98	-0.14	20.14
-0.28	1.35	1.29	3.68	1.63	18.51
3.98	5.4	1.57	-4.27	8.04	24.53
7.7	5.79	9.21	7.86	0.77	18.16
6.19	4.76	5.35	4.72	0.21	19.54
5.5	2.5	2.74	5.87	-1.02	22.21
11.01	6.74	3.6	2.93	-2.08	18.84
2.48	3.1	4.16	3.76	2.82	22.6
